"","Forecast","linf","lsup","CI"
"1",102.120717015259,101.667246142483,102.574187888035,0.453470872775696
"2",102.507189770403,102.056147636737,102.958231904068,0.451042133665723
"3",102.902382082677,102.453728095053,103.351036070301,0.448653987624226
"4",103.368288228067,102.921982701682,103.814593754453,0.446305526385686
"5",103.681875978251,103.237879919102,104.125872037401,0.443996059149782
"6",104.075228021923,103.633504223626,104.516951820221,0.441723798297346
"7",104.376034490871,103.936546494696,104.815522487045,0.439487996174648
"8",104.591539441402,104.154251806064,105.028827076741,0.437287635338251
"9",104.793701438500,104.35857979969,105.228823077311,0.435121638810458
"10",105.094946601070,104.661957446570,105.527935755570,0.432989154500035
"11",105.412397584822,104.981508387639,105.843286782004,0.430889197182594
"12",105.853100101616,105.424278935073,106.281921268158,0.428821166542534
