"","Forecast","linf","lsup","CI"
"1",101.780444884594,101.350204026123,102.210685743065,0.430240858470867
"2",102.372149152704,101.944437123170,102.799861182238,0.427712029533993
"3",102.893762671870,102.468534029796,103.318991313944,0.425228642074103
"4",103.442177783725,103.019388461822,103.864967105629,0.422789321903252
"5",103.436984029987,103.016591276802,103.857376783172,0.420392753184800
"6",103.692714013962,103.274676338708,104.110751689215,0.418037675253217
"7",103.204545292351,102.788822412707,103.620268171995,0.415722879644065
"8",103.171249014871,102.757801807551,103.584696222191,0.41344720731999
"9",103.188610837109,102.778453618483,103.598768055735,0.410157218625699
"10",103.438809337259,103.030846771268,103.84677190325,0.4079625659909
"11",103.992427804617,103.586703135899,104.398152473335,0.40572466871771
"12",104.626087871943,104.222641178138,105.029534565747,0.403446693804369
