"","Forecast","linf","lsup","CI"
"1",102.033177346745,101.646608873628,102.419745819862,0.386568473116952
"2",102.400899489493,102.014988917115,102.78681006187,0.385910572377369
"3",102.858405637739,102.474642763033,103.242168512445,0.383762874705894
"4",103.336077422054,102.954406925015,103.717747919092,0.381670497038513
"5",103.646244513523,103.266628168726,104.025860858320,0.379616344797242
"6",103.998845809997,103.621244822402,104.376446797591,0.377600987594619
"7",104.238457215814,103.862836218437,104.614078213191,0.375620997377254
"8",104.369144317384,103.995470219347,104.742818415421,0.373674098036787
"9",104.513334741236,104.141575635821,104.885093846651,0.371759105414881
"10",104.816813749528,104.446940672766,105.186686826291,0.369873076762445
"11",105.193867967668,104.825849450208,105.561886485128,0.36801851745993
"12",105.693058260206,105.32686548784,106.059251032572,0.366192772366205
