"","Forecast","linf","lsup","CI"
"1",96.1847492865182,95.2906887963968,97.0788097766396,0.894060490121419
"2",101.690913111840,100.801403338411,102.580422885270,0.889509773429438
"3",102.083312530151,101.198305217796,102.968319842505,0.885007312354148
"4",102.622369975826,101.741806434130,103.502933517522,0.880563541695935
"5",103.083671308239,102.207482297642,103.959860318835,0.876189010596804
"6",103.544537034821,102.672672751701,104.416401317941,0.87186428311989
"7",104.219487128444,103.351872959874,105.087101297014,0.867614168570086
"8",98.9807826388375,98.1173750073089,99.8441902703661,0.863407631528645
"9",99.0639785864882,98.204693007047,99.9232641659294,0.859285579441192
"10",99.2945757925215,98.4393334354363,100.149818149607,0.855242357085217
"11",99.5260859051995,98.674801711461,100.377370098938,0.851284193738607
"12",99.8245259009835,98.9771492301858,100.671902571781,0.847376670797715
