"","Forecast","linf","lsup","CI"
"1",101.133903746976,100.770180942790,101.497626551163,0.363722804186793
"2",101.855906953972,101.494331044619,102.217482863325,0.361575909352666
"3",102.455631212873,102.096400706053,102.814861719693,0.35923050682004
"4",103.005239718364,102.648077252073,103.362402184654,0.35716246629039
"5",103.261345223170,102.906213808752,103.616476637589,0.355131414418850
"6",103.722099618137,103.368963395077,104.075235841197,0.353136223059977
"7",103.793265281698,103.442089468846,104.144441094550,0.351175812852219
"8",103.463973735934,103.114724585441,103.813222886428,0.349249150493122
"9",103.463144607145,103.115789360946,103.810499853343,0.347355246198418
"10",103.691293364066,103.345800212731,104.036786515401,0.345493151335006
"11",104.039882581372,103.696220625163,104.383544537582,0.343661956209061
"12",104.503774170459,104.161913382459,104.845634958459,0.341860787999991
