"","Forecast","linf","lsup","CI"
"1",102.344513688125,101.928820490825,102.760206885425,0.41569319729976
"2",102.728882213021,102.314815332459,103.142949093582,0.414066880561705
"3",103.275114340786,102.862933852902,103.687294828670,0.412180487883887
"4",103.716641463773,103.306580889134,104.126702038412,0.410060574639061
"5",103.961193603532,103.553219516373,104.369167690691,0.407974087159317
"6",104.293791583374,103.887871658434,104.699711508314,0.405919924940207
"7",104.431367895782,104.027765356382,104.834970435183,0.403602539400453
"8",104.602337165311,104.200725052214,105.003949278407,0.401612113096746
"9",104.755133766202,104.355482173234,105.15478535917,0.399651592967899
"10",104.993294038333,104.595573487333,105.391014589333,0.397720551000276
"11",105.343099517077,104.947281700158,105.738917333996,0.395817816919148
"12",105.860253194623,105.466310005660,106.254196383585,0.393943188962496
