"Banco de México"

"Laboral"
"Salarios mínimos"

"Fecha de consulta: 11/10/2010 03:23:55"

""

"Título","Salario mínimo general (índice real, 1994=100)"
"Periodo disponible","Ene 1964 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","1994"
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SL2542"
01/12/1984,157.78448
01/01/1985,191.78923
01/02/1985,184.13930
01/03/1985,177.27014
01/04/1985,171.97827
01/05/1985,167.99837
01/06/1985,193.36733
01/07/1985,186.85977
01/08/1985,179.03277
01/09/1985,172.15722
01/10/1985,165.85683
01/11/1985,158.54223
01/12/1985,148.43706
01/01/1986,181.54989
01/02/1986,173.82207
01/03/1986,166.10166
01/04/1986,157.86008
01/05/1986,149.54950
01/06/1986,175.80182
01/07/1986,167.44689
01/08/1986,155.08254
01/09/1986,146.30558
01/10/1986,168.34337
01/11/1986,157.68957
01/12/1986,146.14536
01/01/1987,166.35394
01/02/1987,155.15814
01/03/1987,145.53986
01/04/1987,160.68340
01/05/1987,149.41893
01/06/1987,139.33876
01/07/1987,158.65802
01/08/1987,146.67066
01/09/1987,137.60527
01/10/1987,158.83259
01/11/1987,147.15977
01/12/1987,147.45485
01/01/1988,153.24981
01/02/1988,141.45168
01/03/1988,138.61719
01/04/1988,134.47807
01/05/1988,131.92556
01/06/1988,129.28802
01/07/1988,127.16544
01/08/1988,126.00622
01/09/1988,125.28993
01/10/1988,124.34150
01/11/1988,122.69947
01/12/1988,120.19171
01/01/1989,126.71355
01/02/1989,125.01700
01/03/1989,123.67627
01/04/1989,121.85398
01/05/1989,120.19953
01/06/1989,118.75726
01/07/1989,124.67125
01/08/1989,123.49473
01/09/1989,122.32484
01/10/1989,120.54210
01/11/1989,118.87352
01/12/1989,126.52320
01/01/1990,120.69809
01/02/1990,118.02549
01/03/1990,115.98084
01/04/1990,114.24212
01/05/1990,112.28270
01/06/1990,109.86300
01/07/1990,107.89533
01/08/1990,106.08773
01/09/1990,104.59673
01/10/1990,103.11434
01/11/1990,118.55752
01/12/1990,114.93505
01/01/1991,112.07832
01/02/1991,110.15531
01/03/1991,108.60647
01/04/1991,107.48057
01/05/1991,106.44005
01/06/1991,105.33477
01/07/1991,104.41207
01/08/1991,103.69042
01/09/1991,102.66765
01/10/1991,101.48730
01/11/1991,110.93980
01/12/1991,108.38854
01/01/1992,106.45374
01/02/1992,105.20724
01/03/1992,104.14733
01/04/1992,103.22712
01/05/1992,102.55096
01/06/1992,101.86153
01/07/1992,101.22239
01/08/1992,100.60434
01/09/1992,99.73676
01/10/1992,99.02372
01/11/1992,98.20776
01/12/1992,96.82901
01/01/1993,103.35309
01/02/1993,102.51553
01/03/1993,101.92154
01/04/1993,101.33717
01/05/1993,100.76119
01/06/1993,100.19919
01/07/1993,99.71998
01/08/1993,99.18910
01/09/1993,98.45988
01/10/1993,98.05883
01/11/1993,97.62823
01/12/1993,96.88946
01/01/1994,102.84326
01/02/1994,102.31702
01/03/1994,101.79361
01/04/1994,101.29750
01/05/1994,100.81043
01/06/1994,100.30851
01/07/1994,99.86561
01/08/1994,99.40231
01/09/1994,98.70035
01/10/1994,98.18491
01/11/1994,97.66281
01/12/1994,96.81370
01/01/1995,99.84702
01/02/1995,95.78731
01/03/1995,90.45490
01/04/1995,93.81017
01/05/1995,90.04659
01/06/1995,87.27665
01/07/1995,85.53298
01/08/1995,84.13738
01/09/1995,82.43225
01/10/1995,80.77035
01/11/1995,78.82662
01/12/1995,84.04638
01/01/1996,81.12981
01/02/1996,79.27946
01/03/1996,77.57181
01/04/1996,84.55421
01/05/1996,83.04058
01/06/1996,81.71005
01/07/1996,80.56479
01/08/1996,79.50802
01/09/1996,78.25679
01/10/1996,77.29204
01/11/1996,76.13846
01/12/1996,86.77462
01/01/1997,84.59914
01/02/1997,83.20099
01/03/1997,82.17826
01/04/1997,81.29993
01/05/1997,80.56466
01/06/1997,79.85613
01/07/1997,79.16644
01/08/1997,78.46873
01/09/1997,77.50343
01/10/1997,76.88896
01/11/1997,76.03831
01/12/1997,74.98767
01/01/1998,84.53551
01/02/1998,83.08099
01/03/1998,82.11905
01/04/1998,81.35785
01/05/1998,80.71491
01/06/1998,79.77203
01/07/1998,79.01018
01/08/1998,78.25786
01/09/1998,77.00887
01/10/1998,75.92094
01/11/1998,74.59982
01/12/1998,83.02182
01/01/1999,80.97706
01/02/1999,79.90312
01/03/1999,79.16761
01/04/1999,78.44767
01/05/1999,77.97858
01/06/1999,77.46957
01/07/1999,76.96093
01/08/1999,76.53017
01/09/1999,75.79777
01/10/1999,75.32072
01/11/1999,74.65680
01/12/1999,73.91632
01/01/2000,80.27408
01/02/2000,79.56829
01/03/2000,79.12960
01/04/2000,78.68193
01/05/2000,78.38890
01/06/2000,77.92731
01/07/2000,77.62451
01/08/2000,77.20030
01/09/2000,76.64044
