"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"2. Noroeste"

"Fecha de consulta: 11/10/2010 03:07:48"

""

"Título","IPC Por objeto del gasto Región Noroeste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8965"
01/07/1998,71.23869848
01/08/1998,71.92189128
01/09/1998,73.08421691
01/10/1998,74.14995415
01/11/1998,76.31870359
01/12/1998,77.96886861
01/01/1999,79.84866912
01/02/1999,80.92882660
01/03/1999,81.67160492
01/04/1999,82.34445868
01/05/1999,82.53409842
01/06/1999,83.06030108
01/07/1999,83.62704366
01/08/1999,84.10672065
01/09/1999,84.89711296
01/10/1999,85.47990825
01/11/1999,87.21387390
01/12/1999,88.07255829
01/01/2000,89.17366592
01/02/2000,89.93984312
01/03/2000,90.44781642
01/04/2000,90.92205181
01/05/2000,90.22634333
01/06/2000,90.71826391
01/07/2000,91.08339523
01/08/2000,91.67244837
01/09/2000,92.32489613
01/10/2000,92.97217438
01/11/2000,94.89305897
01/12/2000,95.52537282
01/01/2001,96.22080922
01/02/2001,96.54431230
01/03/2001,96.77966148
01/04/2001,97.10915032
01/05/2001,95.80207815
01/06/2001,96.02327916
01/07/2001,95.79908527
01/08/2001,96.68552181
01/09/2001,97.49740844
01/10/2001,97.84131752
01/11/2001,99.39298959
01/12/2001,99.74506107
01/01/2002,100.75393360
01/02/2002,100.80970999
01/03/2002,101.10763756
01/04/2002,101.35305369
01/05/2002,99.66289292
01/06/2002,99.89878625
01/07/2002,100.36100000
01/08/2002,100.64100000
01/09/2002,101.36000000
01/10/2002,101.99500000
01/11/2002,105.85900000
01/12/2002,106.30800000
01/01/2003,106.77100000
01/02/2003,106.95500000
01/03/2003,107.64700000
01/04/2003,107.97800000
01/05/2003,104.09400000
01/06/2003,104.22600000
01/07/2003,104.49800000
01/08/2003,104.75100000
01/09/2003,105.17400000
01/10/2003,105.46900000
01/11/2003,110.16000000
01/12/2003,110.46200000
01/01/2004,111.06700000
01/02/2004,111.55700000
01/03/2004,112.02600000
01/04/2004,112.26400000
01/05/2004,107.85900000
01/06/2004,107.95900000
01/07/2004,108.55700000
01/08/2004,109.25800000
01/09/2004,110.11800000
01/10/2004,111.33800000
01/11/2004,116.57100000
01/12/2004,116.59400000
01/01/2005,116.42100000
01/02/2005,116.76100000
01/03/2005,117.39500000
01/04/2005,117.97300000
