"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"6. Sur"

"Fecha de consulta: 11/10/2010 03:13:10"

""

"Título","IPC Por objeto del gasto Región Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP9001"
01/07/1998,69.73092774
01/08/1998,70.44083014
01/09/1998,71.63560608
01/10/1998,73.01748149
01/11/1998,74.20433188
01/12/1998,75.90266298
01/01/1999,77.94490614
01/02/1999,78.96079120
01/03/1999,79.76013904
01/04/1999,80.40210820
01/05/1999,81.01011073
01/06/1999,81.53234755
01/07/1999,82.09930708
01/08/1999,82.63003555
01/09/1999,83.45146170
01/10/1999,84.34931274
01/11/1999,84.85032042
01/12/1999,85.71760150
01/01/2000,86.80141980
01/02/2000,87.48641335
01/03/2000,87.95911551
01/04/2000,88.17140690
01/05/2000,88.78393832
01/06/2000,89.39986640
01/07/2000,89.75453454
01/08/2000,90.32375852
01/09/2000,91.13188107
01/10/2000,92.04614932
01/11/2000,92.50243427
01/12/2000,93.30234823
01/01/2001,93.84666335
01/02/2001,94.04989697
01/03/2001,94.54014855
01/04/2001,94.89481669
01/05/2001,95.22570820
01/06/2001,95.63500600
01/07/2001,95.31062476
01/08/2001,95.64434682
01/09/2001,96.39529223
01/10/2001,97.27446163
01/11/2001,97.64752836
01/12/2001,97.85783836
01/01/2002,98.52273499
01/02/2002,98.63907067
01/03/2002,99.34019837
01/04/2002,99.07016372
01/05/2002,99.56098141
01/06/2002,99.91706483
01/07/2002,100.23800000
01/08/2002,100.89100000
01/09/2002,101.86100000
01/10/2002,103.40400000
01/11/2002,103.77400000
01/12/2002,104.32500000
01/01/2003,104.91300000
01/02/2003,104.73400000
01/03/2003,105.33900000
01/04/2003,104.46500000
01/05/2003,104.73300000
01/06/2003,104.91800000
01/07/2003,105.05800000
01/08/2003,105.59800000
01/09/2003,106.02900000
01/10/2003,107.40200000
01/11/2003,107.69600000
01/12/2003,108.13800000
01/01/2004,108.37600000
01/02/2004,108.53200000
01/03/2004,108.99700000
01/04/2004,108.25800000
01/05/2004,108.41200000
01/06/2004,108.49600000
01/07/2004,109.07400000
01/08/2004,109.95300000
01/09/2004,110.99200000
01/10/2004,112.74500000
01/11/2004,113.10000000
01/12/2004,113.51700000
01/01/2005,113.75300000
01/02/2005,113.80200000
01/03/2005,114.33400000
01/04/2005,113.70400000
01/05/2005,114.14900000
01/06/2005,114.19000000
01/07/2005,114.62800000
01/08/2005,115.05100000
01/09/2005,115.54800000
01/10/2005,117.13600000
01/11/2005,117.13500000
01/12/2005,117.82200000
01/01/2006,118.64200000
01/02/2006,118.88800000
01/03/2006,118.92000000
01/04/2006,117.90600000
01/05/2006,118.30500000
01/06/2006,118.25800000
01/07/2006,118.45900000
01/08/2006,119.23100000
01/09/2006,120.51300000
01/10/2006,122.50500000
01/11/2006,122.46900000
01/12/2006,123.17500000
01/01/2007,124.09800000
01/02/2007,124.12400000
01/03/2007,124.44500000
01/04/2007,123.36600000
01/05/2007,123.03200000
01/06/2007,123.12700000
01/07/2007,123.68800000
01/08/2007,124.32200000
01/09/2007,125.42300000
01/10/2007,127.02600000
01/11/2007,127.03400000
01/12/2007,127.61600000
01/01/2008,128.28600000
01/02/2008,128.32000000
01/03/2008,129.24500000
01/04/2008,128.48100000
01/05/2008,129.11400000
01/06/2008,129.70300000
01/07/2008,130.39700000
01/08/2008,131.20300000
01/09/2008,131.83100000
01/10/2008,133.51800000
01/11/2008,134.51300000
01/12/2008,135.81100000
01/01/2009,136.31600000
01/02/2009,136.29100000
01/03/2009,137.50100000
01/04/2009,137.18200000
01/05/2009,137.38800000
01/06/2009,137.52800000
01/07/2009,137.80200000
01/08/2009,138.30200000
01/09/2009,139.18400000
01/10/2009,140.55900000
01/11/2009,140.70900000
01/12/2009,141.09300000
01/01/2010,143.09200000
01/02/2010,143.58500000
01/03/2010,144.63500000
01/04/2010,143.29400000
01/05/2010,142.97200000
01/06/2010,142.53200000
01/07/2010,142.67900000
01/08/2010,143.43400000
01/09/2010,144.54700000

