"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"1. Frontera norte"

"Fecha de consulta: 11/10/2010 03:07:14"

""

"Título","IPC Por objeto del gasto Región Frontera Norte, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8956"
01/07/1998,70.40165540
01/08/1998,71.11199840
01/09/1998,72.32171281
01/10/1998,73.34419666
01/11/1998,75.14608839
01/12/1998,76.82360939
01/01/1999,78.77981795
01/02/1999,79.90913653
01/03/1999,80.65778895
01/04/1999,81.43503855
01/05/1999,81.65626197
01/06/1999,82.22280975
01/07/1999,82.78423163
01/08/1999,83.27335121
01/09/1999,84.07650014
01/10/1999,84.57047585
01/11/1999,85.87272639
01/12/1999,86.73927471
01/01/2000,87.88531994
01/02/2000,88.66337889
01/03/2000,89.16355965
01/04/2000,89.64701375
01/05/2000,89.39557445
01/06/2000,89.96940642
01/07/2000,90.40402950
01/08/2000,90.95573913
01/09/2000,91.62885185
01/10/2000,92.34620926
01/11/2000,93.75610388
01/12/2000,94.40466620
01/01/2001,95.10017104
01/02/2001,95.55691647
01/03/2001,96.22139608
01/04/2001,96.57940032
01/05/2001,95.91168329
01/06/2001,96.03929144
01/07/2001,95.84153928
01/08/2001,96.29234945
01/09/2001,96.91609158
01/10/2001,97.33236930
01/11/2001,98.60359461
01/12/2001,98.78488990
01/01/2002,99.23273243
01/02/2002,99.65008930
01/03/2002,100.02266191
01/04/2002,100.44919146
01/05/2002,99.66169004
01/06/2002,99.89451420
01/07/2002,100.30700000
01/08/2002,100.78600000
01/09/2002,101.20300000
01/10/2002,101.49800000
01/11/2002,103.32000000
01/12/2002,102.50500000
01/01/2003,103.21000000
01/02/2003,104.15600000
01/03/2003,105.32500000
01/04/2003,105.32300000
01/05/2003,102.95500000
01/06/2003,103.01900000
01/07/2003,103.21400000
01/08/2003,103.93500000
01/09/2003,104.94500000
01/10/2003,105.15300000
01/11/2003,107.19500000
01/12/2003,107.58100000
01/01/2004,107.84800000
01/02/2004,108.68600000
01/03/2004,109.36400000
01/04/2004,109.74100000
01/05/2004,108.29500000
01/06/2004,108.41000000
01/07/2004,108.49600000
01/08/2004,109.05200000
01/09/2004,109.92700000
01/10/2004,110.64900000
01/11/2004,112.98300000
01/12/2004,112.95000000
01/01/2005,112.72600000
01/02/2005,112.97800000
01/03/2005,113.60000000
01/04/2005,114.48500000
01/05/2005,112.37400000
01/06/2005,112.13900000
01/07/2005,112.32700000
01/08/2005,112.49000000
01/09/2005,113.03600000
01/10/2005,113.25400000
01/11/2005,115.85500000
01/12/2005,116.25700000
01/01/2006,117.08400000
01/02/2006,117.36200000
01/03/2006,117.84000000
01/04/2006,119.07500000
01/05/2006,116.23800000
01/06/2006,116.45300000
01/07/2006,116.59800000
01/08/2006,117.23500000
01/09/2006,118.01400000
01/10/2006,117.64500000
01/11/2006,119.98400000
01/12/2006,120.78100000
01/01/2007,121.22900000
01/02/2007,121.63900000
01/03/2007,122.47400000
01/04/2007,122.59600000
01/05/2007,119.87600000
01/06/2007,119.97800000
01/07/2007,120.29600000
01/08/2007,120.66700000
01/09/2007,121.38600000
01/10/2007,121.83100000
01/11/2007,124.83500000
01/12/2007,125.25700000
01/01/2008,125.75200000
01/02/2008,126.00900000
01/03/2008,126.53900000
01/04/2008,126.88700000
01/05/2008,124.70100000
01/06/2008,125.14300000
01/07/2008,125.71400000
01/08/2008,126.31900000
01/09/2008,127.11500000
01/10/2008,128.28500000
01/11/2008,131.56200000
01/12/2008,130.93100000
01/01/2009,131.85300000
01/02/2009,133.35800000
01/03/2009,134.32500000
01/04/2009,134.54200000
01/05/2009,131.56700000
01/06/2009,131.94500000
01/07/2009,132.22600000
01/08/2009,132.45500000
01/09/2009,132.72300000
01/10/2009,133.08800000
01/11/2009,136.23400000
01/12/2009,136.63800000
01/01/2010,137.82400000
01/02/2010,138.49500000
01/03/2010,139.14100000
01/04/2010,139.16500000
01/05/2010,135.96600000
01/06/2010,135.89700000
01/07/2010,136.14100000
01/08/2010,136.43100000
01/09/2010,136.97200000

