"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"5. Centro sur"

"Fecha de consulta: 11/10/2010 03:11:04"

""

"Título","IPC Por objeto del gasto Región Centro Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8992"
01/07/1998,69.56262420
01/08/1998,70.22548612
01/09/1998,71.34316461
01/10/1998,72.44049083
01/11/1998,73.56721476
01/12/1998,75.22818562
01/01/1999,77.20065919
01/02/1999,78.25728088
01/03/1999,79.01201066
01/04/1999,79.71953450
01/05/1999,80.29363794
01/06/1999,80.82392748
01/07/1999,81.35873974
01/08/1999,81.80988159
01/09/1999,82.60899061
01/10/1999,83.25234828
01/11/1999,83.79309663
01/12/1999,84.69820702
01/01/2000,85.84556589
01/02/2000,86.61753856
01/03/2000,87.13454260
01/04/2000,87.61479949
01/05/2000,88.16459328
01/06/2000,88.70505895
01/07/2000,89.08242384
01/08/2000,89.61130003
01/09/2000,90.40956104
01/10/2000,91.04472127
01/11/2000,91.55352787
01/12/2000,92.44959281
01/01/2001,92.98355707
01/02/2001,93.36544468
01/03/2001,93.93756943
01/04/2001,94.34207067
01/05/2001,94.69795262
01/06/2001,94.95348660
01/07/2001,94.39690872
01/08/2001,94.78444974
01/09/2001,95.79103879
01/10/2001,96.37616637
01/11/2001,96.76709943
01/12/2001,96.79480113
01/01/2002,97.29060489
01/02/2002,97.77029644
01/03/2002,98.31641551
01/04/2002,99.00273908
01/05/2002,99.49656414
01/06/2002,99.94120457
01/07/2002,100.20200000
01/08/2002,100.46500000
01/09/2002,101.15200000
01/10/2002,101.72000000
01/11/2002,102.28300000
01/12/2002,103.04900000
01/01/2003,103.19300000
01/02/2003,103.25700000
01/03/2003,103.87100000
01/04/2003,104.05200000
01/05/2003,104.34300000
01/06/2003,104.48600000
01/07/2003,104.64900000
01/08/2003,105.13000000
