"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"3. Noreste"

"Fecha de consulta: 11/10/2010 03:08:23"

""

"Título","IPC Por objeto del gasto Región Noreste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8974"
01/07/1998,68.56459076
01/08/1998,69.25435571
01/09/1998,70.42360504
01/10/1998,71.50097880
01/11/1998,73.08548338
01/12/1998,74.79704993
01/01/1999,76.66360415
01/02/1999,77.69043237
01/03/1999,78.40337566
01/04/1999,79.12665146
01/05/1999,79.31654626
01/06/1999,79.83065852
01/07/1999,80.38945190
01/08/1999,80.83877652
01/09/1999,81.62432664
01/10/1999,82.14653735
01/11/1999,83.14879096
01/12/1999,83.99521912
01/01/2000,85.38675707
01/02/2000,86.15694806
01/03/2000,86.68027579
01/04/2000,87.24018621
01/05/2000,87.38875097
01/06/2000,87.97295675
01/07/2000,88.38402314
01/08/2000,88.89841466
01/09/2000,89.66106570
01/10/2000,90.34943436
01/11/2000,91.44216726
01/12/2000,92.35282455
01/01/2001,93.39668745
01/02/2001,93.88315326
01/03/2001,95.03034128
01/04/2001,95.45676682
01/05/2001,95.07111281
01/06/2001,95.30066212
01/07/2001,95.27329493
01/08/2001,95.63409505
01/09/2001,96.46265076
01/10/2001,96.68521864
01/11/2001,97.43893346
01/12/2001,97.65424066
01/01/2002,98.49647996
01/02/2002,98.95306527
01/03/2002,99.29766848
01/04/2002,99.77994543
01/05/2002,99.60987788
01/06/2002,99.93884270
01/07/2002,100.22100000
01/08/2002,100.60800000
01/09/2002,101.16700000
01/10/2002,101.56100000
01/11/2002,102.49500000
01/12/2002,102.79300000
01/01/2003,103.55800000
01/02/2003,103.83500000
01/03/2003,104.38800000
01/04/2003,104.63900000
01/05/2003,104.08700000
01/06/2003,104.33100000
01/07/2003,104.54900000
01/08/2003,104.71900000
01/09/2003,105.11400000
01/10/2003,105.55000000
01/11/2003,106.50700000
01/12/2003,106.77800000
01/01/2004,107.69000000
01/02/2004,108.17100000
01/03/2004,108.45100000
01/04/2004,108.67500000
01/05/2004,108.17400000
01/06/2004,108.31400000
01/07/2004,108.48600000
01/08/2004,109.09800000
01/09/2004,109.81700000
01/10/2004,110.52800000
01/11/2004,111.45200000
01/12/2004,111.71800000
01/01/2005,111.89700000
01/02/2005,112.09300000
01/03/2005,112.52700000
01/04/2005,113.00200000
01/05/2005,111.95200000
01/06/2005,111.79600000
01/07/2005,112.42900000
01/08/2005,112.35500000
01/09/2005,112.63500000
01/10/2005,113.01500000
01/11/2005,114.54700000
01/12/2005,115.18100000
01/01/2006,116.21700000
01/02/2006,116.10900000
01/03/2006,116.15700000
01/04/2006,116.12900000
01/05/2006,115.00100000
01/06/2006,115.03100000
01/07/2006,115.16000000
01/08/2006,115.75000000
01/09/2006,116.62400000
01/10/2006,117.29500000
01/11/2006,118.65700000
01/12/2006,119.27600000
01/01/2007,120.39000000
01/02/2007,120.79400000
01/03/2007,120.55100000
01/04/2007,119.31200000
01/05/2007,119.30500000
01/06/2007,119.47900000
01/07/2007,119.98400000
01/08/2007,120.43400000
01/09/2007,121.19000000
01/10/2007,122.78600000
01/11/2007,123.10400000
01/12/2007,123.50600000
01/01/2008,124.34200000
01/02/2008,124.63900000
01/03/2008,125.51300000
01/04/2008,124.47700000
01/05/2008,125.00800000
01/06/2008,125.62100000
01/07/2008,126.34500000
01/08/2008,127.00100000
01/09/2008,127.75300000
01/10/2008,129.72200000
01/11/2008,130.86100000
01/12/2008,131.72000000
01/01/2009,132.67400000
01/02/2009,132.96600000
01/03/2009,133.65700000
01/04/2009,132.98900000
01/05/2009,133.12100000
01/06/2009,133.44500000
01/07/2009,133.87300000
01/08/2009,134.23100000
