"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"4. Centro norte"

"Fecha de consulta: 11/10/2010 03:10:27"

""

"Título","IPC Por objeto del gasto Región Centro Norte, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8983"
01/07/1998,70.73959921
01/08/1998,71.43052112
01/09/1998,72.58035166
01/10/1998,73.55759389
01/11/1998,74.67557946
01/12/1998,76.38781475
01/01/1999,78.31187590
01/02/1999,79.36617155
01/03/1999,80.10599823
01/04/1999,80.86288470
01/05/1999,81.44832018
01/06/1999,81.98371358
01/07/1999,82.53303915
01/08/1999,82.98114323
01/09/1999,83.78807179
01/10/1999,84.30555240
01/11/1999,84.93534336
01/12/1999,85.77241089
01/01/2000,86.88186657
01/02/2000,87.62254623
01/03/2000,88.13206560
01/04/2000,88.64385961
01/05/2000,89.12921093
01/06/2000,89.62536679
01/07/2000,90.02200714
01/08/2000,90.48262175
01/09/2000,91.16956304
01/10/2000,91.75954780
01/11/2000,92.39502536
01/12/2000,93.39558265
01/01/2001,93.86870778
01/02/2001,94.21445306
01/03/2001,94.53773628
01/04/2001,94.92641539
01/05/2001,95.36769556
01/06/2001,95.54852945
01/07/2001,95.39954052
01/08/2001,95.71486250
01/09/2001,96.71911607
01/10/2001,96.99065123
01/11/2001,97.07822487
01/12/2001,97.30398289
01/01/2002,97.70460387
01/02/2002,97.99717945
01/03/2002,98.50357118
01/04/2002,98.98295157
01/05/2002,99.55530787
01/06/2002,99.92778018
01/07/2002,100.15000000
01/08/2002,100.61800000
01/09/2002,101.39000000
01/10/2002,101.85600000
01/11/2002,102.29900000
01/12/2002,102.86200000
01/01/2003,103.05100000
01/02/2003,103.12000000
01/03/2003,103.68100000
01/04/2003,103.65300000
01/05/2003,103.78200000
01/06/2003,104.00200000
01/07/2003,104.28000000
01/08/2003,104.50600000
01/09/2003,105.26600000
01/10/2003,105.44200000
01/11/2003,105.93700000
01/12/2003,106.46200000
01/01/2004,107.07600000
01/02/2004,107.60200000
01/03/2004,107.89600000
01/04/2004,108.11600000
01/05/2004,108.44300000
01/06/2004,108.80000000
01/07/2004,109.21900000
01/08/2004,110.04000000
01/09/2004,111.10700000
01/10/2004,111.83000000
01/11/2004,112.32200000
01/12/2004,112.52800000
01/01/2005,112.42400000
01/02/2005,112.78000000
01/03/2005,113.45300000
01/04/2005,114.08700000
01/05/2005,114.51500000
01/06/2005,114.35400000
01/07/2005,114.86600000
01/08/2005,114.92400000
01/09/2005,115.43800000
01/10/2005,115.51400000
01/11/2005,115.72000000
01/12/2005,116.47200000
01/01/2006,117.07500000
01/02/2006,117.32100000
01/03/2006,117.32600000
01/04/2006,117.61900000
01/05/2006,117.86200000
01/06/2006,117.91900000
01/07/2006,118.21100000
01/08/2006,118.82300000
01/09/2006,120.02100000
01/10/2006,120.36300000
01/11/2006,120.10400000
01/12/2006,120.75200000
01/01/2007,121.59400000
01/02/2007,121.98000000
01/03/2007,122.21900000
01/04/2007,122.59700000
01/05/2007,122.55400000
01/06/2007,122.51700000
01/07/2007,122.97800000
01/08/2007,123.59400000
01/09/2007,124.58900000
01/10/2007,124.82300000
01/11/2007,125.21400000
01/12/2007,125.69600000
01/01/2008,126.25900000
01/02/2008,126.41300000
01/03/2008,127.41600000
01/04/2008,128.03500000
01/05/2008,128.33900000
01/06/2008,129.01700000
01/07/2008,129.78700000
01/08/2008,130.52500000
01/09/2008,131.41400000
01/10/2008,131.99700000
01/11/2008,132.58900000
01/12/2008,133.49600000
01/01/2009,133.56400000
01/02/2009,133.74200000
01/03/2009,134.23900000
01/04/2009,135.00300000
01/05/2009,135.16600000
01/06/2009,135.28300000
01/07/2009,135.98500000
01/08/2009,136.51100000
01/09/2009,137.18200000
01/10/2009,137.28600000
01/11/2009,137.31600000
01/12/2009,137.95000000
01/01/2010,139.65900000
01/02/2010,140.54000000
01/03/2010,141.44700000
01/04/2010,141.28600000
01/05/2010,140.89400000
01/06/2010,140.89100000
01/07/2010,141.30300000
01/08/2010,141.73100000
01/09/2010,142.35700000

