"","Costos","Monetario","Demanda"
"1",0.73928292851732,0.650867213866467,1.11475131729985
"2",0.565521476889154,0.538244818594403,0.803862471197666
"3",0.465013688773187,0.642948528316254,0.67015752101188
"4",1.03466316016944,0.222182085357973,0.201802228741039
"5",1.18761479940853,0.127671694124258,-0.124206659545041
"6",1.19346628227088,0.372827851874191,0.369056683513035
"7",0.933800806103305,0.341370717050169,0.337922821290073
"8",0.936305020708903,0.464390294518423,0.652550852599412
"9",1.01986169031766,0.650324353885869,0.774633404967513
"10",0.980958807964387,0.792381971885907,1.20299530187204
"11",0.905878815117926,0.69385111124316,0.86206483549182
"12",0.938526130261974,0.667736099358905,0.773676657560567
"13",0.889733030019947,0.872705800789618,1.09809622483576
"14",0.817675195175836,0.903485659281168,0.818420923338438
"15",0.704753015203683,1.13434850206343,0.585281630135319
"16",1.10275339575402,0.75833212058304,0.486017080929051
"17",1.07546841128513,0.649306706603101,0.111507986355792
"18",0.97112869530939,1.05223297924665,0.763588262511108
"19",0.946924838760917,0.871366548919244,0.716925191661198
"20",1.10643243795431,1.00686922802785,1.05945104871763
"21",1.10873821213493,1.07017068729848,1.24152999349953
"22",1.10986938899266,1.11269240853561,1.33612157758801
"23",1.07250245971195,1.10974241447032,1.01175447995787
"24",1.05029867456294,1.02826287695868,0.953519741163792
"25",0.918268609723845,1.19511968344736,1.26429075789406
"26",0.815348663657985,1.28464454688551,1.37608872312339
"27",0.796002384143634,1.28813987759154,1.09513467324276
"28",1.15489602052878,1.20945840091648,0.808143661042975
"29",1.14673575731510,1.22672180402351,0.386980428459250
"30",1.20690223535740,1.34645263841783,1.10504090432118
"31",1.21750896423938,1.34679067896549,0.665802776198091
"32",1.31789138402478,1.32518410564041,1.43610039688151
"33",1.33655982422392,1.35999585689637,1.50849858893408
"34",1.27198357307335,1.42316384561261,1.66054482469272
"35",1.37909301878305,1.43044727728496,1.58826142576121
"36",1.39905853596169,1.43630125416372,1.30255743528916
"37",1.43601106653965,1.56401470757026,1.48892398197309
"38",1.43175975970159,1.47070741420789,1.29560781020340
"39",1.32169647143953,1.63284104249617,1.24447574629155
"40",1.56668051305692,1.53632898696532,1.28410212189000
"41",1.55624883372923,1.49083501238836,1.07541892133597
"42",1.59289207840423,1.69035796157262,1.50248007572185
"43",1.57395135299196,1.62518159700642,1.33923019758436
"44",1.62994671586689,1.73528744938603,1.67687788859284
"45",1.67121698541732,1.75235963386326,1.68840056437381
"46",1.65732637584597,1.76793720952703,1.77669153292575
"47",1.64103289467326,1.81638891652348,1.77567255877401
"48",1.64106182381418,1.7386097662713,1.63004131823474
