"","Mexico","Costos"
"Mexico.l12",1,1
"Costos.l12",-7.25175479411607,-3244.44560428569
"Monetario.l12",-7.87626816279088,400.300615091293
"Demanda.l12",3.27082117564594,905.62030871354
