"","Nacional","Costos"
"Nacional.l12",1,1
"Costos.l12",-6.53249589724453,-25.8886691270486
"Monetario.l12",-6.95219706948857,0.721231951272763
"Demanda.l12",2.35184217562618,5.67672594462165
