"","Costos","Monetario","Demanda"
"1",1.24747611911955,0.614030200667629,0.745874271882653
"2",1.25235658972522,0.501778155849073,0.832785201534294
"3",1.26707379807840,0.490590838326812,0.807752724988238
"4",1.30079883464157,0.703993920685067,1.01075768610973
"5",1.40515405766045,0.719654644492718,0.934425045124623
"6",1.48003759377132,0.70145548818224,0.649705969105858
"7",1.48989238614045,0.767768431061047,1.18074225420781
"8",1.34263456611096,0.680810383554713,0.696163271079226
"9",1.05428232224164,0.560034047147327,0.480358288026502
"10",0.719134746161518,0.83345355142872,0.168164769106229
"11",0.268803462410782,0.734212903110139,-0.120984187386011
"12",-0.0346102732320988,0.877631052691882,0.383777273348407
"13",0.37210996161134,0.441189266968960,0.197641756701539
"14",0.320210171944011,0.34335861116871,0.472459361894583
"15",0.213833877384230,0.58803444650158,0.607376830543892
"16",0.290121341268206,0.562213493321767,1.05033344934046
"17",0.351430637497232,0.68883861958156,0.913031599753856
"18",0.416600884672958,0.874951283515779,0.82827479648484
"19",0.41217150670118,1.02379158245335,1.13940019276025
"20",0.48794141295656,0.91869761248179,0.705219142387228
"21",0.429990685140302,0.88984573940155,0.562485976906054
"22",0.430234593499823,1.10087322457639,0.510350205799765
"23",0.412682220550142,1.13847180578901,0.131935278506526
"24",0.389992771566848,1.41463824301041,0.860097562183889
"25",0.877832375027702,1.02040104209825,0.704248341848381
"26",0.801011990548502,0.902395450588795,1.04025749062863
"27",0.825155071833823,1.31402370334856,1.07779636416220
"28",0.934837951531161,1.12030839493264,1.30226523164764
"29",1.01978069652343,1.2607506175123,1.22370999228220
"30",1.00999805607344,1.32189129063717,1.11324081684895
"31",1.00808173488714,1.37270442647810,1.40537053627759
"32",1.01209435848820,1.36506518783392,1.2591501931916
"33",0.952088080235263,1.28531342518713,1.41430597822016
"34",0.928419452883215,1.45407901652869,1.39084325000452
"35",0.872434376491838,1.5478207177272,1.39822329602303
"36",0.872434376491838,1.56158812406262,1.50606500080189
"37",1.22348325891232,1.33069132988991,1.37753180468735
"38",1.29732834197632,1.37634420401623,1.54794330448117
"39",1.41295693973041,1.43542610300644,1.56545830558218
"40",1.58242846613751,1.35888574364639,1.6835372263985
"41",1.73568607686023,1.40707048134542,1.78863130500444
"42",1.80493523878638,1.37459324044887,1.60293688358768
"43",1.74868421883695,1.48506555812671,1.92836607325174
"44",1.74408934501783,1.52133270840752,1.71414585870076
"45",1.64274578227467,1.42152727149083,1.59966094725166
"46",1.57969082687502,1.59792484168645,1.67848589599279
"47",1.50114301308939,1.5871397892761,1.41954842774400
"48",1.46987951723031,1.62814219536678,1.73974626551133
