"","Costos","Monetario","Demanda"
"1",-0.386665361476402,0.576913790712153,0.757153284497436
"2",-0.307760026738248,0.470314747464487,0.856393379423319
"3",-0.0761254831613072,0.459733491521676,0.82996195353114
"4",0.0622878650621471,0.660305580289858,1.04085116911503
"5",0.153089040438861,0.675649469431912,0.932765166758795
"6",0.338406382043931,0.657362925087724,0.652887679169587
"7",0.478869804932933,0.718778859101034,1.19457517505646
"8",0.613008799296989,0.634977551794486,0.732615567870199
"9",1.10554586401000,0.520381365073796,0.519476150404367
"10",1.32506710280923,0.779484115639039,0.193509856168220
"11",1.49067110123081,0.688222702182477,-0.100168207283435
"12",1.70872887238822,0.830315650585996,0.398075182384884
"13",1.23950178503637,0.419430626567168,0.225483443056262
"14",1.48194970745566,0.330282093471832,0.505938551294172
"15",1.74674122409668,0.562441523906612,0.645502446092877
"16",1.70442703614244,0.546037239071745,1.08805706682913
"17",1.70609103378905,0.671787859533264,0.92859456609498
"18",1.85817603608234,0.850254662910269,0.839199276100021
"19",1.79443689394204,0.993595109560743,1.15849849778795
"20",1.71674369043833,0.893495732924405,0.743442473342292
"21",1.81539990656736,0.865611553958737,0.594159816724496
"22",1.83730683806058,1.06522067133229,0.528139109412706
"23",1.87483442632817,1.10151233271350,0.150915676444527
"24",1.84671072256311,1.36972204427134,0.865578743587114
"25",1.16488253803212,0.995635035814416,0.731438780516683
"26",1.29395781115524,0.883041488624073,1.07036839867746
"27",1.36322282623601,1.27181789145798,1.10613516784630
"28",1.23031327882564,1.08715965126073,1.3382780626616
"29",1.10083987705511,1.22013775999906,1.23158496171554
"30",1.08625792953768,1.27734350883814,1.12196471394256
"31",1.08079954221801,1.32674710049260,1.42346975880475
"32",1.11022532276843,1.31882646167873,1.27510696222139
"33",1.22052641636428,1.24417107201839,1.43580478123719
"34",1.29521921491217,1.40346399193486,1.40617509103217
"35",1.38629251571350,1.49912696909890,1.41987804851267
"36",1.38629251571350,1.51617922207519,1.52365875075601
"37",1.10792049040067,1.33514469913181,1.35367596944051
"38",1.22514477967591,1.39843335095493,1.56706112403005
"39",1.34411570690657,1.53414144779636,1.56391917772840
"40",1.34531016501542,1.4789328426647,1.77131557810382
"41",1.29508263719962,1.57359805138531,1.57131638406408
"42",1.47034767139147,1.59973421477625,1.62543212530795
"43",1.55986189880556,1.70816038262543,1.73375718426358
"44",1.56373412201101,1.64198250341179,1.50670692831482
"45",1.62563130514540,1.61331540886127,1.54420235067545
"46",1.65289901367751,1.68337094157916,1.48838827208583
"47",1.72134454843863,1.66012518893402,1.55130000629651
"48",1.70678611060991,1.71540737069732,1.69461183802932
