"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.40427629500766,-6.71978599048379,10.1240622854914
"2",2.99723832749801,-6.32928083898771,9.32651916648572
"3",2.78045561998252,-20.5113121925866,23.2917678125691
"4",3.03379687072243,-17.4500680650219,20.4838649357443
"5",4.20653463799997,-14.2694153204457,18.4759499584456
"6",4.76149932168204,-15.8081969156279,20.56969623731
"7",4.95667360670451,-15.0640841944813,20.0207578011858
"8",5.20953137651203,-20.4332473930836,25.6427787695956
"9",5.085426428288,-20.6093812355313,25.6948076638193
"10",5.03033758698597,-17.3573807949527,22.3877183819387
"11",4.07081013958177,-17.9762942911554,22.0471044307372
"12",3.86873825303284,-13.6521061223343,17.5208443753672
