"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.52229247927608,2.61417319778296,0.908119281493114
"2",2.97598610503252,1.72361298555926,1.25237311947326
"3",2.50115965596913,-0.772324352465077,3.27348400843421
"4",2.98687747380779,0.440729714104137,2.54614775970366
"5",3.68902499861194,0.919249623433572,2.76977537517837
"6",4.04256681577768,1.18970025022942,2.85286656554825
"7",4.23895941024759,1.39979715585514,2.83916225439245
"8",4.34997400021666,1.16718551304378,3.18278848717289
"9",4.22320201507627,0.636103021058503,3.58709899401777
"10",3.85982908775004,-0.0644768526521347,3.92430594040218
"11",3.33672442267705,-0.682346756931167,4.01907117960822
"12",3.09241486067651,-0.83431249089304,3.92672735156955
