"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.43664308937821,3.27411200313072,0.162531086247483
"2",2.85627678931037,2.42538212120549,0.430894668104884
"3",2.51431825221668,1.34729562904469,1.16702262317199
"4",2.91762645535553,1.80717489435915,1.11045156099638
"5",3.49620052456896,2.54993727583204,0.946263248736926
"6",3.81550863413236,2.82306977377158,0.992438860360778
"7",3.83305012467881,2.86217080197706,0.970879322701748
"8",3.78665423080665,2.63940679778929,1.14724743301736
"9",3.71326192756409,2.44967339944554,1.26358852811855
"10",3.60925294438033,2.16995539798211,1.43929754639822
"11",3.34542227846200,1.82111196086552,1.52431031759647
"12",3.10566179564566,1.58687240047155,1.51878939517411
