"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.61450134683159,-19.1989169623740,22.8134183092056
"2",3.1730600122919,-23.6177531823746,26.7908131946665
"3",2.69322244448394,-26.6720062616717,29.3652287061556
"4",3.28853947481534,-26.721377373781,30.0099168485963
"5",4.10545221542198,-24.9679564070989,29.0734086225209
"6",4.79305233926949,-23.3103922478256,28.1034445870951
"7",5.28237988132597,-23.4077776664027,28.6901575477286
"8",5.17017490985015,-21.4097481734296,26.5799230832798
"9",4.792318806268,-17.192983223951,21.985302030219
"10",3.62823456199789,-18.3787836519050,22.0070182139029
"11",3.37003192907947,-14.3997418870789,17.7697738161583
"12",3.30793634940053,-14.0787396905929,17.3866760399935
