"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",2.40564220394572,2.39116571732431,0.0144764866214047
"2",1.72189114087023,1.53228891958828,0.189602221281945
"3",1.36030154434353,0.853968474175247,0.506333070168282
"4",2.08730654374784,1.75012794821754,0.337178595530304
"5",3.248489482387,3.14238188032418,0.106107602062821
"6",4.19666659499327,4.58156285613238,-0.384896261139104
"7",4.75410920975747,5.46189869052667,-0.707789480769193
"8",4.91603147797082,5.30137724703525,-0.385345769064429
"9",4.71988575475457,4.67645666394473,0.0434290908098376
"10",3.65848311707072,3.19642846900845,0.462054648062264
"11",3.28011462017786,2.37335668827173,0.906757931906128
"12",3.19489320291339,2.39124765749439,0.803645545419002
