"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",2.54974057781467,2.15217498807063,0.397565589744048
"2",2.25964741071351,1.65276374807777,0.606883662635738
"3",1.96944300316066,1.05285143283422,0.916591570326446
"4",2.08273298547745,1.20938253279110,0.873350452686353
"5",3.35006213867956,1.73466561370084,1.61539652497872
"6",3.81912574581922,2.08857507588081,1.73055066993841
"7",3.98438061429212,2.42067326178399,1.56370735250813
"8",4.04041172679865,2.93757419317787,1.10283753362079
"9",4.10102459841364,3.44574433423863,0.655280264175019
"10",4.07937769896887,3.15100680274507,0.928370896223797
"11",3.22003456645201,2.96423635358936,0.255798212862658
"12",2.93436276545928,2.20218462095070,0.73217814450858
