"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.64531057288207,3.08809163962988,0.557218933252187
"2",3.23498955377934,2.19592792821398,1.03906162556537
"3",2.78898696858924,1.12816329038165,1.66082367820759
"4",3.43402772648813,1.8152008886166,1.61882683787152
"5",4.01168498784392,2.34308465433874,1.66860033350518
"6",4.45167156379355,2.55038097275688,1.90129059103667
"7",4.55812436230536,2.51753481590977,2.04058954639559
"8",4.60539243723197,2.36150095260940,2.24389148462257
"9",4.41916357139469,1.98512335876846,2.43404021262623
"10",3.88895004803527,1.26544357533027,2.623506472705
"11",3.59756815551438,0.741821521883651,2.85574663363073
"12",3.38696426011902,0.617500607409909,2.76946365270911
