"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",4.04887293690501,3.94056342082895,0.108309516076062
"2",3.3184176470302,2.90281638197558,0.415601265054619
"3",2.65442616576993,0.187248340496865,2.46717782527307
"4",3.04208449562640,1.47291280504587,1.56917169058053
"5",3.26891325284031,1.93525191233637,1.33366134050394
"6",3.41926575121565,1.7776087320009,1.64165701921475
"7",3.54841773424846,2.27599218240466,1.27242555184380
"8",3.70706138069229,2.41750429228502,1.28955708840728
"9",3.61329852896068,1.70590444731855,1.90739408164214
"10",3.48491768612018,1.22585789713938,2.25905978898081
"11",3.17668334084951,0.127879183490748,3.04880415735876
"12",2.88842444683644,0.274618152045946,2.61380629479049
