"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.681706349471,NA,NA,NA,NA,NA,NA
"2",93.435168454671,NA,NA,NA,NA,NA,NA
"3",93.329155026303,NA,NA,NA,NA,NA,NA
"4",93.762543255479,NA,NA,NA,NA,NA,NA
"5",94.088584554044,NA,NA,NA,NA,NA,NA
"6",94.469966195718,NA,NA,NA,NA,NA,NA
"7",94.88335189124,NA,NA,NA,NA,NA,NA
"8",99.451263826751,99.0283221757161,NA,NA,NA,NA,NA
"9",99.774638120829,99.4387258362916,99.9738051077094,NA,NA,NA,NA
"10",100.304,99.4852386349613,100.117533966316,99.6391609652087,NA,NA,NA
"11",100.851,100.114271224618,100.653343510373,100.073590759551,101.014831003556,NA,NA
"12",101.165,100.887932360128,101.368418136828,100.924807382325,101.766243458026,101.565917337528,NA
"13",101.454,101.131654116197,101.718937212693,101.356809682122,102.023175186898,101.598125643313,100.931101452712
"14",95.482,NA,97.1511791926688,97.0136481460798,97.4816517859203,97.0172522548634,96.190939930269
"15",95.493,NA,NA,97.1420596892224,97.043219658923,96.6998063748733,96.0422240913853
"16",95.803,NA,NA,NA,96.7573866206735,96.3646032350219,95.963379052657
"17",95.896,NA,NA,NA,NA,96.5151345045305,96.3364953635755
"18",96.221,NA,NA,NA,NA,NA,96.9507440827367
