"","Noroeste","Costos","Monetario"
"Noroeste.l8",1,1,1
"Costos.l8",-23.2232423058815,-5.65881151725948,-24.9343433547895
"Monetario.l8",5.81301820541148,-6.1229101464689,2.05491236845784
"Demanda.l8",0.481748626124177,1.19382957811165,5.23273965102588
