"","Mexico","Costos"
"Mexico.l12",1,1
"Costos.l12",-7.19388687537858,-27.3541008183376
"Monetario.l12",-7.33664458094064,0.59811039642731
"Demanda.l12",3.01141555536362,6.45096212972877
