"","V1"
"Actividades.Primarioas",0.083667118799379
"Actividades.Secundarias",0.205336505056095
"Actividades.Terciarias",0.378399219581415
"Mineria",0.0668745822233224
"Manufactura",0.127606683146619
"Construccion",0.297225889266890
"Energia",0.275790567293705
"Desempleo",0.432614156165780
