"","Noreste","Costos"
"Noreste.l11",1,1
"Costos.l11",-8.57174354034933,-5.23920584075914
"Monetario.l11",0.834791087236175,-3.53582163501534
"Demanda.l11",-3.76167835312828,-1.83060255109617
