"","Sur","Costos","Monetario"
"Sur.l8",1,1,1
"Costos.l8",-18.0391467553071,7.00526379311272,21.2822252480344
"Monetario.l8",-3.02131928364604,-7.01640241251476,3.29960495343217
"Demanda.l8",6.75010408810321,-4.44352531876745,-17.2267083285786
