"","Centro.norte","Costos"
"Centro.norte.l12",1,1
"Costos.l12",-9.52208038491278,16.2965360393202
"Monetario.l12",-7.41581066226146,-17.7255232374756
"Demanda.l12",3.94088048047854,-1.52521473389765
