"","Mexico","Costos"
"Mexico.l11",1,1
"Costos.l11",27.0346212694551,-10.5942851974056
"Monetario.l11",-12.6331705333583,-12.4375176648365
"Demanda.l11",-10.7566760212382,7.390064643111
