"","Noroeste","Costos"
"Noroeste.l12",1,1
"Costos.l12",-5.85521528183146,-47.4955447171442
"Monetario.l12",-30.4553250495362,-6.10674183149017
"Demanda.l12",16.2714632522425,22.6590927916213
