"","Centro.sur","Costos"
"Centro.sur.l12",1,1
"Costos.l12",-1.25973957754718,-17.9834411647154
"Monetario.l12",-18.1374141059094,-2.72026530537695
"Demanda.l12",7.10992830024322,5.30450497338975
