"","Nacional","Costos"
"Nacional.l12",1,1
"Costos.l12",0.132076249868382,-35.9171746573555
"Monetario.l12",-16.5860051113461,-4.47803562650261
"Demanda.l12",5.09646988479886,15.0365091555368
