"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.6,-4.3,7.9
"2",3.5,-2.4,5.9
"3",3.5,-2.8,6.3
"4",3.4,-3.5,6.9
"5",3.1,-3.5,6.6
"6",3.4,-3.6,7
"7",3.4,-3,6.4
"8",3.6,-3.2,6.8
"9",3.7,-4,7.7
"10",3.4,-4.5,7.9
"11",3.4,-2.8,6.2
"12",3.7,-0.7,4.4
