"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",2.4,2.3,0.1
"2",2.6,2.8,-0.200000000000000
"3",2.8,2.9,-0.1
"4",2.8,3.2,-0.4
"5",2.6,3.1,-0.5
"6",2.7,3.1,-0.4
"7",3.1,3.4,-0.3
"8",3.1,2.9,0.2
"9",3.2,3,0.2
"10",3.1,3.1,0
"11",3.2,3.3,-0.0999999999999996
"12",3.3,3.6,-0.3
