"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",2.7,3.1,-0.4
"2",2.6,3.1,-0.5
"3",2.7,3.1,-0.4
"4",2.8,3.2,-0.4
"5",2.6,2.9,-0.3
"6",2.9,3.3,-0.4
"7",3,3.1,-0.1
"8",3.4,3.5,-0.1
"9",3.4,3.4,0
"10",3.2,3.2,0
"11",3.3,3.4,-0.1
"12",3.5,3.5,0
