"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.5,3.9,-0.4
"2",3.4,3.8,-0.4
"3",3.2,3.6,-0.4
"4",3.3,3.7,-0.4
"5",3.2,3.3,-0.0999999999999996
"6",3.4,3.9,-0.5
"7",3.2,3.5,-0.3
"8",3.6,4,-0.4
"9",3.7,4.1,-0.399999999999999
"10",3.4,3.7,-0.3
"11",3.7,4,-0.3
"12",3.9,4.1,-0.200000000000000
