"","Forecast","linf","lsup","CI"
"1",99.8182653582398,99.3441433633063,100.292387353173,0.474121994933469
"2",99.7354398445128,99.2642005723426,100.206679116683,0.47123927217018
"3",99.9975374544407,99.5289846278141,100.466090281067,0.468552826626549
"4",99.6447141765805,99.1788763883466,100.110551964814,0.465837788233827
"5",100.207122370254,99.744039013296,100.670205727213,0.463083356958421
"6",100.558547780446,100.098239886911,101.018855673980,0.460307893534889
"7",101.132297514964,100.674724748616,101.589870281312,0.457572766348292
"8",101.559096691798,101.104119576778,102.014073806817,0.454977115019361
"9",101.979447846888,101.526992669068,102.431903024708,0.452455177819701
"10",102.631259140955,102.18123244752,103.081285834391,0.450026693435348
"11",102.597543909897,102.14988705995,103.045200759843,0.447656849946370
"12",102.969219523608,102.523912717387,103.414526329830,0.445306806221225
