"","Costos","Monetario","Demanda"
"Centro.norte.d",3.93571986626816,6.00452842303879,5.39938565592473
"Costos.d",-11.8060493325877,4.96614079660776,20.32644760973
"Monetario.d",2.78893122743455,-1.22073918443264,4.47331458887221
"Demanda.d",1.37091197269594,-3.00672373424532,1.55594360568658
