"","Centro.sur","Costos"
"Centro.sur.d",0.0433568872201740,-0.0615868131078241
"Costos.d",-0.0333473722311625,0.0524026876343556
"Monetario.d",-0.122595056540717,0.176549550918233
"Demanda.d",-0.184097946472758,0.468324394747143
