"","Centro.norte","Costos"
"Centro.norte.d",0.0193310823388769,0.0406307239388822
"Costos.d",0.0224777278325972,-0.0115734089673986
"Monetario.d",-0.00372596821713132,-0.0529044327325362
"Demanda.d",0.296145133023608,-0.137827806116770
