"","Noroeste","Costos"
"Noroeste.d",0.915238652616894,-0.72193746551646
"Costos.d",0.315396855789332,-0.256539073091607
"Monetario.d",0.313323473878505,-0.258264284535354
"Demanda.d",0.70515146068875,-0.531339845459503
