"","Noreste","Costos"
"Noreste.d",-0.00141879722576113,0.155676208155807
"Costos.d",-0.0462861475671131,-0.00304585036930516
"Monetario.d",0.135802186579228,-0.232575978698677
"Demanda.d",-0.130606423437987,-0.00328786689825080
