"","Nacional","Costos"
"Nacional.d",0.163395938794886,-0.0601109350678833
"Costos.d",-0.107642921002349,0.0446868902398734
"Monetario.d",-0.147105699447693,0.0563511866181559
"Demanda.d",-0.311799104935613,0.194026443757726
