Nombre,Símbolo,Cierre,Máximo,Mínimo,Var., Var %,Vol.,Hora
Avery Dennison,AVY,93.33,93.57,92.41,+1.36,+1.48%,1.30M,14:59:59
Baker Hughes A,BHGE,27.05,27.79,26.55,-0.11,-0.41%,3.37M,14:59:59
Ball,BLL,48.84,48.85,47.94,+0.98,+2.05%,2.68M,14:59:59
Bank of America,BAC,28.54,28.67,28.14,+0.33,+1.17%,56.68M,14:59:59
Bank of NY Mellon,BK,48.77,48.87,47.75,+0.45,+0.93%,4.74M,14:59:59
Baxter,BAX,63.50,64.11,63.10,+0.07,+0.11%,5.38M,14:59:59
BB&T,BBT,50.15,50.36,49.22,+0.18,+0.36%,3.97M,14:59:59
Becton Dickinson,BDX,236.86,243.05,236.00,-3.83,-1.59%,2.83M,14:59:59
Berkshire Hathaway B,BRKb,221.24,221.55,217.56,+2.73,+1.25%,4.74M,14:59:59
Best Buy,BBY,72.81,72.86,70.56,+1.13,+1.58%,2.31M,14:59:59
Biogen Inc,BIIB,331.51,331.88,322.40,+11.23,+3.51%,1.37M,14:59:59
BlackRock,BLK,424.73,425.00,410.33,+11.30,+2.73%,1.08M,14:59:59
Boeing,BA,372.02,372.85,359.50,+5.55,+1.51%,4.02M,14:59:59
Booking,BKNG,"1,998.17","2,015.65","1,965.88",+48.71,+2.50%,616.52K,14:59:59
BorgWarner,BWA,40.22,40.39,39.17,+0.24,+0.60%,1.96M,14:59:59
Boston Properties,BXP,123.74,123.86,122.39,+1.30,+1.06%,508.59K,14:59:59
Boston Scientific,BSX,37.95,37.99,37.00,+1.10,+2.99%,6.75M,14:59:59
Brighthouse Financial,BHF,43.19,44.54,42.22,-0.84,-1.91%,1.86M,14:59:59
Bristol-Myers Squibb,BMY,52.99,53.11,51.88,+1.64,+3.19%,9.50M,14:59:59
Broadcom,AVGO,234.40,235.29,229.21,+6.15,+2.69%,2.90M,14:59:59
Brookfield Property A,BPR,18.93,19.05,18.75,+0.17,+0.91%,791.09K,14:59:59
Brown Forman,BFb,49.35,49.40,48.45,+0.68,+1.40%,621.60K,14:59:59
CA,CA,44.44,44.47,44.41,+0.00,+0.00%,0,02/11
Cabot Oil&Gas,COG,25.47,26.22,25.26,-0.32,-1.24%,4.58M,14:59:59
Cadence Design,CDNS,46.15,46.22,45.16,+1.45,+3.24%,1.88M,14:59:59
Campbell Soup,CPB,38.35,38.55,37.81,-0.02,-0.05%,1.10M,14:59:59
Capital One Financial,COF,90.54,90.69,88.58,+1.36,+1.52%,2.05M,14:59:59
Cardinal Health,CAH,53.65,53.70,52.59,+1.12,+2.13%,2.91M,14:59:59
CarMax,KMX,68.15,70.85,67.40,-2.31,-3.28%,2.36M,14:59:59
Carnival,CCL,58.67,58.74,57.15,+1.42,+2.48%,4.12M,14:59:59
Caterpillar,CAT,135.10,135.22,130.88,+5.77,+4.46%,7.55M,14:59:59
Cboe Global,CBOE,111.23,112.65,110.00,-1.21,-1.08%,748.52K,14:59:59
CBRE A,CBRE,43.590,43.600,42.960,+0.780,+1.82%,1.28M,14:59:59
CBS,CBS,57.81,58.08,56.50,+0.02,+0.03%,1.95M,14:59:59
Celgene,CELG,75.46,76.24,74.75,+0.37,+0.49%,6.76M,14:59:59
Centene,CNC,142.96,143.86,132.51,+12.08,+9.23%,3.04M,14:59:59
CenterPoint Energy,CNP,28.32,28.35,27.84,+0.52,+1.87%,6.67M,14:59:59
CenturyLink,CTL,21.47,21.48,21.00,+0.32,+1.51%,9.42M,14:59:59
Cerner,CERN,58.54,58.90,58.00,+0.94,+1.63%,1.50M,14:59:59
CF Industries,CF,53.55,53.84,51.39,+1.91,+3.70%,3.58M,14:59:59
CH Robinson,CHRW,90.87,90.97,88.13,+2.04,+2.30%,671.80K,14:59:59
Charter Communications,CHTR,328.36,329.87,322.57,+7.69,+2.40%,886.47K,14:59:59
Chesapeake Energy,CHK,3.720,3.790,3.590,+0.070,+1.92%,26.57M,14:59:59
Chevron,CVX,120.87,121.12,119.02,+1.97,+1.66%,4.85M,14:59:59
Chipotle Mexican Grill,CMG,477.49,479.80,474.27,+3.34,+0.70%,479.74K,14:59:59
Chubb,CB,131.69,131.91,129.68,+1.30,+1.00%,1.41M,14:59:59
Church&Dwight,CHD,66.11,67.93,65.60,-1.77,-2.61%,3.25M,14:59:59
Cigna,CI,220.29,222.25,218.00,+6.05,+2.82%,3.24M,14:59:59
Cimarex Energy,XEC,93.19,94.63,88.11,+10.04,+12.07%,4.05M,14:59:59
Cincinnati Financial,CINF,80.78,80.82,79.58,+0.62,+0.77%,553.61K,14:59:59
Cintas,CTAS,181.40,181.70,178.11,+3.99,+2.25%,709.89K,14:59:59
Cisco,CSCO,47.90,47.93,46.75,+1.40,+3.01%,19.99M,14:59:59
Citigroup,C,68.26,68.31,66.70,+1.58,+2.37%,15.53M,14:59:59
Citizens Financial Group Inc,CFG,38.14,38.25,37.26,+0.41,+1.09%,2.67M,14:59:59
Citrix Systems,CTXS,106.03,106.82,105.37,+1.65,+1.58%,1.72M,14:59:59
Clorox,CLX,158.67,158.77,155.85,+0.57,+0.36%,1.17M,14:59:59
CME Group,CME,188.69,188.74,185.98,+2.29,+1.23%,3.07M,14:59:59
CMS Energy,CMS,49.63,49.65,48.85,+0.53,+1.08%,2.68M,14:59:59
Coca-Cola,KO,49.37,49.55,49.03,+0.26,+0.53%,12.24M,14:59:59
Cognizant,CTSH,71.37,71.43,70.18,+1.72,+2.47%,2.45M,14:59:59
Colgate-Palmolive,CL,61.33,61.44,60.27,+0.82,+1.36%,5.78M,14:59:59
Comcast,CMCSA,38.30,38.34,37.64,+0.57,+1.51%,21.55M,14:59:59
Comerica,CMA,83.55,84.35,81.70,-0.14,-0.17%,1.89M,14:59:59
ConAgra Foods,CAG,34.78,35.12,34.37,-0.28,-0.80%,6.69M,14:59:59
Concho Resources,CXO,142.92,144.88,141.17,+1.55,+1.10%,1.55M,14:59:59
ConocoPhillips,COP,70.03,71.26,69.25,+0.53,+0.76%,6.59M,14:59:59
Consolidated Edison,ED,78.26,78.34,76.85,+1.03,+1.33%,1.50M,14:59:59
Constellation Brands A,STZ,206.75,207.43,204.80,+2.75,+1.35%,2.04M,14:59:59
Cooper,COO,265.85,268.40,261.00,+6.21,+2.39%,244.47K,14:59:59
Corning,GLW,34.01,34.02,33.48,+0.63,+1.89%,3.36M,14:59:59
Costco,COST,240.37,240.88,236.94,+3.66,+1.55%,2.60M,14:59:59
Coty Inc,COTY,8.66,9.62,8.36,-2.52,-22.54%,29.51M,14:59:59
Crown Castle,CCI,111.73,112.45,111.05,+0.52,+0.47%,1.84M,14:59:59
CSX,CSX,72.31,72.50,70.75,+1.94,+2.76%,5.34M,14:59:59
Cummins,CMI,146.73,146.83,143.19,+1.62,+1.12%,1.86M,14:59:59
CVS Health Corp,CVS,78.77,81.28,78.53,+0.87,+1.12%,12.36M,14:59:59
Danaher,DHR,104.07,104.17,101.85,+2.85,+2.82%,2.06M,14:59:59
Darden Restaurants,DRI,111.22,112.19,109.32,+0.57,+0.52%,2.13M,14:59:59
DaVita,DVA,76.08,79.11,74.99,+6.83,+9.86%,6.25M,14:59:59
Deere&Company,DE,148.43,149.78,145.76,+2.96,+2.03%,2.16M,14:59:59
Delta Air Lines,DAL,56.79,57.25,55.64,+1.32,+2.38%,7.20M,14:59:59
Dentsply,XRAY,36.51,36.56,35.62,+1.00,+2.82%,2.95M,14:59:59
Devon Energy,DVN,33.86,34.65,32.89,+0.93,+2.82%,11.39M,14:59:59
Digital,DLR,111.92,112.48,110.65,+0.72,+0.65%,875.76K,14:59:59
Discover,DFS,70.74,70.79,69.45,+1.17,+1.68%,1.69M,14:59:59
Discovery A,DISCA,33.08,33.50,32.44,-0.21,-0.63%,5.71M,14:59:59
Discovery Communications C,DISCK,29.85,30.17,29.38,-0.16,-0.53%,3.05M,14:59:59
DISH Network,DISH,32.12,33.99,30.29,+0.63,+2.00%,5.53M,14:59:59
Dollar General,DG,115.94,116.31,114.56,+1.55,+1.35%,1.84M,14:59:59
Dollar Tree,DLTR,86.45,86.81,85.63,+0.35,+0.41%,2.32M,14:59:59
Dominion Resources,D,71.18,71.26,70.43,+0.51,+0.72%,2.83M,14:59:59
Dover,DOV,86.85,86.98,85.58,+1.03,+1.20%,1.18M,14:59:59
DR Horton,DHI,37.59,37.93,36.78,+0.10,+0.27%,5.38M,14:59:59
DTE Energy,DTE,116.14,116.24,114.50,+1.30,+1.13%,1.13M,14:59:59
Duke,DRE,28.55,28.56,28.16,+0.35,+1.24%,1.27M,14:59:59
Duke Energy,DUK,84.70,84.78,83.59,+0.37,+0.44%,2.98M,14:59:59
DuPont,DWDP,59.83,59.88,58.24,+1.81,+3.12%,12.12M,14:59:59
DXC Technology,DXC,63.21,66.00,60.05,-9.00,-12.46%,12.18M,14:59:59
E-TRADE,ETFC,53.58,53.78,52.45,+1.17,+2.23%,2.56M,14:59:59
Eastman Chemical,EMN,84.20,84.31,82.37,+1.48,+1.79%,1.18M,14:59:59
Eaton,ETN,75.42,76.16,74.67,+0.14,+0.19%,3.51M,14:59:59
eBay,EBAY,29.86,30.18,29.59,-0.09,-0.30%,18.35M,14:59:59
Ecolab,ECL,160.38,160.55,157.47,+3.51,+2.24%,1.26M,14:59:59
Edison,EIX,69.70,69.84,68.74,+0.76,+1.10%,1.63M,14:59:59
Edwards Lifesciences,EW,157.86,158.05,153.01,+5.13,+3.36%,1.24M,14:59:59
Electronic Arts,EA,93.80,94.63,92.26,+1.57,+1.70%,7.25M,14:59:59
Eli Lilly,LLY,109.72,110.78,106.72,+3.82,+3.61%,5.88M,14:59:59
Emerson,EMR,69.87,71.18,68.58,-0.66,-0.94%,6.51M,14:59:59
Entergy,ETR,85.30,85.57,84.17,+0.79,+0.93%,1.40M,14:59:59
EOG Resources,EOG,109.15,110.20,107.36,+1.82,+1.70%,3.42M,14:59:59
EQT,EQT,34.17,35.64,32.94,-0.85,-2.43%,5.63M,14:59:59
Equifax,EFX,103.87,104.41,102.73,+0.31,+0.30%,1.28M,14:59:59
Equinix,EQIX,400.00,401.68,396.86,+3.96,+1.00%,533.27K,14:59:59
Equity Residential,EQR,67.47,67.74,66.30,+0.95,+1.43%,1.68M,14:59:59
Essex Property,ESS,255.00,257.00,252.59,+4.96,+1.98%,554.78K,14:59:59
Estee Lauder,EL,142.34,142.82,140.52,-0.06,-0.04%,1.23M,14:59:59
Everest,RE,224.06,224.92,219.31,+0.55,+0.25%,234.64K,14:59:59
Eversource Energy,ES,64.38,64.46,63.50,+0.91,+1.43%,1.15M,14:59:59
Exelon,EXC,44.67,44.81,44.14,+0.36,+0.81%,8.46M,14:59:59
Expedia,EXPE,128.38,128.68,126.31,+3.35,+2.68%,1.84M,14:59:59
Expeditors Washington,EXPD,73.36,73.53,71.22,+1.92,+2.69%,1.25M,14:59:59
Express Scripts,ESRX,99.48,100.43,98.86,+1.29,+1.31%,5.33M,14:59:59
Extra Space Storage,EXR,89.53,89.70,88.54,+0.83,+0.94%,787.95K,14:59:59
Exxon Mobil,XOM,83.03,83.14,81.66,+1.04,+1.27%,12.70M,14:59:59
F5 Networks,FFIV,188.46,189.09,178.35,+7.04,+3.88%,1.00M,14:59:59
Facebook,FB,151.53,153.01,149.83,+1.59,+1.06%,21.88M,14:59:59
Fastenal,FAST,54.69,54.76,53.68,+1.19,+2.22%,2.42M,14:59:59
Federal Realty,FRT,126.91,126.95,125.30,+1.77,+1.41%,284.97K,14:59:59
FedEx,FDX,231.28,231.56,225.17,+4.51,+1.99%,1.29M,14:59:59
Fidelity National Info,FIS,107.34,107.63,105.43,+2.67,+2.55%,1.92M,14:59:59
Fifth Third,FITB,27.76,28.10,27.30,-0.22,-0.79%,6.55M,14:59:59
FirstEnergy,FE,37.75,37.84,37.38,+0.29,+0.77%,3.39M,14:59:59
Fiserv,FISV,79.21,79.28,77.97,+1.70,+2.19%,2.63M,14:59:59
FLIR Systems,FLIR,48.92,49.23,48.42,+0.47,+0.97%,1.20M,14:59:59
Flowserve,FLS,49.15,49.40,48.08,+0.95,+1.97%,878.69K,14:59:59
Fluor,FLR,49.21,49.45,48.06,+1.04,+2.16%,1.61M,14:59:59
FMC,FMC,83.94,85.00,83.25,+0.31,+0.37%,2.04M,14:59:59
Foot Locker,FL,50.41,50.98,48.91,-0.29,-0.57%,1.95M,14:59:59
Ford Motor,F,9.60,9.60,9.45,+0.06,+0.63%,37.35M,14:59:59
Fortive,FTV,76.13,76.61,75.45,+0.25,+0.33%,1.39M,14:59:59
Fortune Brands,FBHS,45.50,45.68,44.65,+0.36,+0.80%,3.25M,14:59:59
Fox Inc,FOX,47.16,47.26,46.55,+0.38,+0.81%,2.50M,14:59:59
Franklin Resources,BEN,31.52,31.54,30.66,+0.29,+0.93%,2.20M,14:59:59
Freeport-McMoran,FCX,12.33,12.35,12.04,+0.13,+1.07%,14.38M,14:59:59
Gap,GPS,27.40,27.89,26.38,-0.46,-1.65%,4.45M,14:59:59
Garmin Ltd,GRMN,65.74,65.79,64.65,+1.18,+1.83%,1.11M,14:59:59
Gartner,IT,145.57,146.50,143.08,+3.36,+2.36%,443.16K,14:59:59
General Dynamics,GD,185.03,185.33,182.14,+2.83,+1.55%,1.88M,14:59:59
General Electric,GE,9.20,9.46,9.14,-0.22,-2.34%,124.02M,14:59:59
General Mills,GIS,43.85,44.06,43.13,+0.03,+0.07%,3.63M,14:59:59
General Motors,GM,36.88,37.00,36.37,+0.42,+1.15%,9.46M,14:59:59
Genuine Parts,GPC,100.46,100.50,98.26,+1.90,+1.93%,1.12M,14:59:59
Gilead,GILD,72.48,72.80,70.36,+2.13,+3.03%,8.64M,14:59:59
Global Payments,GPN,115.04,115.67,113.18,+2.91,+2.60%,968.68K,14:59:59
Goldman Sachs,GS,231.28,232.80,226.90,+3.08,+1.35%,3.51M,14:59:59
H&R Block,HRB,28.32,28.39,27.50,+0.95,+3.47%,2.64M,14:59:59
Halliburton,HAL,36.41,36.51,35.63,+0.64,+1.79%,8.77M,14:59:59
Hanesbrands,HBI,16.91,16.97,16.30,+0.40,+2.42%,5.39M,14:59:59
Harley-Davidson,HOG,40.96,41.06,39.65,+1.45,+3.67%,3.68M,14:59:59
Harris,HRS,153.09,153.12,148.39,+2.53,+1.68%,1.28M,14:59:59
Hartford,HIG,46.94,47.02,45.79,+0.80,+1.73%,2.46M,14:59:59
Hasbro,HAS,100.40,100.85,98.80,+1.57,+1.59%,973.07K,14:59:59
HCA,HCA,141.65,141.89,136.08,+6.41,+4.74%,2.35M,14:59:59
HCP,HCP,28.72,28.73,28.27,+0.23,+0.81%,3.11M,14:59:59
Helmerich&Payne,HP,65.71,66.33,64.56,+1.53,+2.38%,1.24M,14:59:59
Henry Schein,HSIC,87.33,87.38,84.25,+3.82,+4.57%,1.77M,14:59:59
Hershey,HSY,108.05,108.59,106.63,+0.36,+0.33%,1.90M,14:59:59
Hess,HES,60.88,61.29,59.08,+2.22,+3.78%,4.61M,14:59:59
Hewlett Packard,HPE,16.24,16.25,15.84,+0.36,+2.27%,18.46M,14:59:59
Hilton Worldwide,HLT,72.97,72.99,71.05,+2.38,+3.37%,2.26M,14:59:59
Hologic,HOLX,41.26,41.36,40.53,+0.79,+1.95%,3.39M,14:59:59
Home Depot,HD,187.23,187.68,182.06,+5.22,+2.87%,4.67M,14:59:59
Honeywell,HON,150.20,151.60,148.75,+1.75,+1.18%,2.18M,14:59:59
Hormel Foods,HRL,44.14,44.27,43.57,+0.06,+0.14%,2.79M,14:59:59
Host Hotels Resorts,HST,18.99,19.00,18.45,+0.49,+2.65%,7.43M,14:59:59
HP Inc,HPQ,25.47,25.51,24.66,+0.59,+2.37%,8.23M,14:59:59
Humana,HUM,353.98,355.88,334.67,+22.17,+6.68%,1.60M,14:59:59
Huntington Bancshares,HBAN,14.66,14.78,14.38,+0.07,+0.48%,11.17M,14:59:59
IBM,IBM,124.84,125.06,122.33,+1.72,+1.40%,12.38M,14:59:59
ICE,ICE,78.55,78.86,78.02,+0.45,+0.58%,2.18M,14:59:59
IDEXX Labs,IDXX,209.79,210.15,203.12,+7.52,+3.72%,551.26K,14:59:59
IFF,IFF,145.11,149.50,142.15,-3.58,-2.41%,1.16M,14:59:59
IHS Markit Ltd,INFO,53.09,53.30,52.44,+0.80,+1.53%,1.54M,14:59:59
Illinois Tool Works,ITW,133.81,133.91,131.18,+2.11,+1.60%,1.00M,14:59:59
Illumina,ILMN,342.68,343.04,323.70,+19.95,+6.18%,1.27M,14:59:59
Incyte,INCY,69.03,70.00,68.05,+0.50,+0.73%,1.61M,14:59:59
Ingersoll-Rand,IR,102.79,103.03,101.35,+1.70,+1.68%,1.29M,14:59:59
Intel,INTC,48.72,48.75,47.59,+1.47,+3.11%,29.91M,14:59:59
International Paper,IP,47.39,47.47,46.35,+0.76,+1.63%,4.00M,14:59:59
Intuit,INTU,221.88,221.89,215.02,+8.18,+3.83%,1.15M,14:59:59
Intuitive Surgical,ISRG,545.68,546.06,523.30,+25.99,+5.00%,1.30M,14:59:59
Invesco,IVZ,21.59,21.85,21.10,-0.11,-0.51%,5.15M,14:59:59
IPG,IPG,23.75,23.89,23.50,+0.31,+1.32%,4.08M,14:59:59
IPG Photonics,IPGP,143.15,143.42,139.45,+1.76,+1.24%,513.69K,14:59:59
Iron Mountain,IRM,32.13,32.16,31.53,+0.39,+1.23%,1.18M,14:59:59
J&J,JNJ,144.75,144.87,142.97,+2.18,+1.53%,7.17M,14:59:59
Jacobs Engineering,JEC,80.92,80.96,79.27,+1.39,+1.75%,1.29M,14:59:59
JB Hunt,JBHT,111.06,111.31,108.30,+2.23,+2.05%,532.14K,14:59:59
Jefferies Financial,JEF,22.04,22.23,21.76,+0.10,+0.46%,2.49M,14:59:59
JM Smucker,SJM,110.79,110.98,108.66,+0.87,+0.79%,1.52M,14:59:59
Johnson Controls,JCI,33.40,33.63,32.80,+0.14,+0.42%,4.55M,14:59:59
JPMorgan,JPM,111.48,111.73,109.35,+1.88,+1.72%,12.68M,14:59:59
Juniper,JNPR,30.44,30.65,30.04,+0.29,+0.96%,5.34M,14:59:59
Kansas City Southern,KSU,103.60,103.82,102.17,+1.80,+1.77%,897.21K,14:59:59
Kellogg,K,64.27,64.90,63.23,-0.12,-0.19%,2.42M,14:59:59
Keurig Dr Pepper,KDP,27.63,27.78,27.24,+0.42,+1.54%,2.79M,14:59:59
