Nombre,Símbolo,Cierre,Máximo,Mínimo,Var., Var %,Vol.,Hora
Norfolk Southern,NSC,173.05,173.48,168.25,+6.00,+3.59%,2.09M,14:59:59
Northern Trust,NTRS,98.38,98.49,95.08,+2.57,+2.68%,746.89K,14:59:59
Northrop Grumman,NOC,285.91,285.97,280.39,+3.17,+1.12%,1.53M,14:59:59
Norwegian Cruise Line,NCLH,48.000,48.090,46.820,+1.430,+3.07%,3.05M,14:59:59
NRG,NRG,38.40,38.62,38.11,+0.45,+1.19%,5.01M,14:59:59
Nucor,NUE,64.21,64.25,62.51,+1.78,+2.85%,4.02M,14:59:59
NVIDIA,NVDA,213.79,217.41,211.18,+2.73,+1.29%,12.10M,14:59:59
O'Reilly,ORLY,342.13,342.93,333.54,+8.59,+2.58%,806.83K,14:59:59
Occidental,OXY,73.72,75.79,73.29,+0.38,+0.52%,6.00M,14:59:59
Omnicom,OMC,75.91,76.23,74.76,+0.21,+0.28%,1.62M,14:59:59
ONEOK,OKE,64.07,64.92,63.38,+0.38,+0.60%,2.71M,14:59:59
Oracle,ORCL,50.26,50.50,49.47,+1.01,+2.05%,14.33M,14:59:59
PACCAR,PCAR,59.90,59.94,58.24,+0.54,+0.91%,2.51M,14:59:59
Pacific Gas&Electric,PCG,48.80,49.42,48.45,+0.22,+0.45%,3.84M,14:59:59
Packaging America,PKG,98.67,98.77,95.80,+2.10,+2.17%,1.15M,14:59:59
Parker-Hannifin,PH,171.03,171.19,167.09,+3.86,+2.31%,1.76M,14:59:59
Patterson,PDCO,24.47,24.51,23.58,+0.96,+4.08%,1.27M,14:59:59
Paychex,PAYX,68.48,68.53,67.49,+1.30,+1.94%,1.79M,14:59:59
PayPal Holdings Inc,PYPL,88.23,88.49,85.73,+3.54,+4.18%,8.67M,14:59:59
Pentair,PNR,43.04,43.10,42.27,+0.67,+1.58%,1.01M,14:59:59
People’s United,PBCT,15.80,15.86,15.48,+0.03,+0.19%,4.08M,14:59:59
PepsiCo,PEP,115.61,115.77,114.44,+0.40,+0.35%,4.22M,14:59:59
PerkinElmer,PKI,86.94,86.96,84.51,+2.83,+3.36%,538.66K,14:59:59
Perrigo,PRGO,75.14,75.42,73.38,+1.29,+1.75%,1.78M,14:59:59
Pfizer,PFE,44.40,44.56,43.29,+1.39,+3.23%,34.91M,14:59:59
Phillips 66,PSX,103.12,103.48,101.38,+2.24,+2.22%,4.21M,14:59:59
Pinnacle West,PNW,85.39,85.46,84.60,+0.74,+0.87%,1.16M,14:59:59
Pioneer Natural Resources,PXD,161.71,162.31,154.47,+13.19,+8.88%,3.65M,14:59:59
PNC Financial,PNC,133.28,133.46,129.59,+1.52,+1.15%,2.63M,14:59:59
PPG Industries,PPG,109.53,109.57,106.61,+2.17,+2.02%,1.30M,14:59:59
PPL,PPL,31.36,31.40,30.77,+0.36,+1.16%,3.24M,14:59:59
Principal Financial,PFG,49.41,49.52,48.44,+1.13,+2.34%,2.00M,14:59:59
Procter&Gamble,PG,91.29,91.62,90.62,-0.22,-0.24%,9.02M,14:59:59
Progressive,PGR,73.12,73.69,71.26,+3.34,+4.79%,4.78M,14:59:59
ProLogis,PLD,67.08,67.10,65.84,+1.17,+1.78%,1.75M,14:59:59
Prudential Financial,PRU,100.69,100.85,98.45,+2.31,+2.35%,2.70M,14:59:59
Public Service Enterprise,PEG,52.99,53.19,52.33,-0.01,-0.02%,4.68M,14:59:59
Public Storage,PSA,203.46,204.17,201.37,+0.66,+0.33%,1.12M,14:59:59
PulteGroup,PHM,25.10,25.13,24.51,+0.21,+0.84%,5.45M,14:59:59
PVH,PVH,124.21,124.91,121.01,-1.03,-0.82%,1.47M,14:59:59
Qorvo Inc,QRVO,70.28,70.68,68.72,+0.27,+0.39%,1.27M,14:59:59
Qualcomm,QCOM,63.21,63.75,62.28,-0.42,-0.66%,18.49M,14:59:59
Quanta Services,PWR,35.55,35.61,34.71,+0.74,+2.13%,1.62M,14:59:59
Quest Diagnostics,DGX,97.55,97.99,96.24,+2.07,+2.17%,1.65M,14:59:59
Ralph Lauren A,RL,127.40,128.10,120.17,-0.39,-0.31%,2.74M,14:59:59
Range Resources,RRC,17.46,17.66,16.96,+0.07,+0.40%,6.19M,14:59:59
Raymond James Financial,RJF,81.16,81.71,80.58,+0.67,+0.83%,1.25M,14:59:59
Raytheon,RTN,187.32,187.50,183.91,+2.52,+1.36%,1.97M,14:59:59
Realty Income,O,62.29,62.30,61.30,+0.73,+1.19%,1.86M,14:59:59
