"","Forecast","linf","lsup","CI"
"1",102.193094798831,101.74679861752,102.639390980142,0.446296181311084
"2",102.349951357205,101.906238856757,102.793663857652,0.443712500447518
"3",102.674802760002,102.233630822919,103.115974697085,0.44117193708297
"4",103.141336178276,102.702660266897,103.580012089654,0.438675911378567
"5",103.507539404676,103.071316355115,103.943762454237,0.436223049560851
"6",103.797656504034,103.363844549319,104.231468458748,0.4338119547145
"7",104.073857992354,103.642418497000,104.505297487708,0.431439495353942
"8",104.345631276174,103.916522764488,104.774739787860,0.429108511685953
"9",104.512679469114,104.08586266448,104.939496273749,0.426816804634285
"10",104.717149317545,104.292583299848,105.141715335242,0.42456601769733
"11",105.053594954781,104.631243804536,105.475946105025,0.422351150244694
"12",105.369620276310,104.949448559303,105.789791993316,0.420171717006781
