"","Forecast","linf","lsup","CI"
"1",101.442422383545,101.009439793543,101.875404973546,0.432982590001487
"2",102.406257346900,101.975616118132,102.836898575669,0.430641228768522
"3",102.88146822369,102.452715407854,103.310221039526,0.428752815835708
"4",103.263670940669,102.837375724005,103.689966157334,0.426295216664613
"5",103.617415441241,103.193534499732,104.041296382751,0.423880941509452
"6",103.670317715372,103.248808879106,104.091826551639,0.42150883626644
"7",103.772580094762,103.353402412167,104.191757777356,0.419177682594494
"8",103.343975493438,102.927089294072,103.760861692804,0.416886199365777
"9",103.374788548320,102.960155231222,103.789421865418,0.414633317097895
"10",103.588434423457,103.176016602349,104.000852244565,0.412417821107937
"11",103.893476409632,103.483237721395,104.303715097869,0.410238688236944
"12",104.343478045177,103.935383095582,104.751572994773,0.408094949595338
