"","Forecast","linf","lsup","CI"
"1",101.199008440220,100.829078406734,101.568938473707,0.369930033486114
"2",101.397690386656,101.029963082045,101.765417691267,0.367727304611094
"3",102.096282470864,101.730794141733,102.461770799995,0.365488329130798
"4",102.571047634115,102.207760654322,102.934334613909,0.363286979793585
"5",102.930314457815,102.569190270426,103.291438645205,0.361124187389251
"6",103.196490407103,102.837490252901,103.555490561304,0.359000154201809
"7",103.472915639369,103.116001084847,103.829830193891,0.356914554522234
"8",103.553275351774,103.198409622116,103.908141081433,0.354865729658627
"9",103.312960608974,102.960107159363,103.665814058586,0.352853449611885
"10",103.450379112109,103.099503174765,103.801255049453,0.350875937344256
"11",103.737014260970,103.388082093985,104.085946427956,0.348932166985676
"12",104.094433363031,103.747412006035,104.441454720027,0.347021356995995
