"","Forecast","linf","lsup","CI"
"1",102.513433423876,102.104640540894,102.922226306859,0.408792882982596
"2",102.872394848876,102.465581527348,103.279208170403,0.406813321527309
"3",103.216652764905,102.811787515000,103.621518014809,0.404865249904262
"4",103.602998384371,103.200338740199,104.005658028543,0.40265964417172
"5",103.866473854128,103.465706442268,104.267241265988,0.400767411859633
"6",104.141561120799,103.742658921858,104.540463319740,0.398902198941045
"7",104.469256541788,104.072194213054,104.866318870522,0.397062328733952
"8",104.626820278887,104.231572842505,105.022067715268,0.395247436381368
"9",104.834474631203,104.441017198506,105.227932063900,0.393457432696664
"10",105.005100513074,104.613409446807,105.396791579341,0.39169106626683
"11",105.293207667073,104.903259120885,105.683156213261,0.389948546188037
"12",105.690850151763,105.303307389393,106.078392914133,0.387542762369634
