"","Forecast","linf","lsup","CI"
"1",100.957396969088,100.434832430449,101.479961507727,0.522564538638974
"2",101.844739886231,101.324830679490,102.364649092973,0.519909206741573
"3",102.357680231674,101.840329049902,102.875031413447,0.517351181772355
"4",102.622044001349,102.107224823623,103.136863179074,0.514819177725371
"5",103.060811356702,102.548422063190,103.573200650213,0.512389293511333
"6",103.185314816035,102.675350106534,103.695279525536,0.509964709501105
"7",103.403381105907,102.895851967220,103.910910244593,0.507529138686252
"8",103.010465302729,102.505367756245,103.515562849213,0.505097546483839
"9",102.864138158657,102.361519886783,103.366756430530,0.502618271873473
"10",103.075585471635,102.575436726496,103.575734216775,0.500148745139896
"11",103.411223725001,102.913553022410,103.908894427593,0.497670702591961
"12",103.709178891935,103.213992626890,104.204365156980,0.495186265045305
