"","Forecast","linf","lsup","CI"
"1",102.012711150521,101.619997823604,102.405424477438,0.392713326917118
"2",102.259207908248,101.868720904906,102.649694911589,0.390487003341718
"3",102.721941234525,102.3336423697,103.110240099349,0.388298864824549
"4",103.130744283981,102.744596469587,103.516892098375,0.386147814393979
"5",103.541057561323,103.157024762031,103.925090360615,0.384032799291774
"6",103.842321727765,103.460368919083,104.224274536446,0.381952808681518
"7",104.105280232513,103.725373361009,104.485187104016,0.379906871503408
"8",104.232690814168,103.854796759707,104.610584868630,0.377894054461393
"9",104.352640769709,103.976727309574,104.728554229844,0.375913460135322
"10",104.5298530845,104.155888859292,104.903817309708,0.373964225208113
"11",104.890029617894,104.517984099094,105.262075136695,0.372045518800221
"12",105.276702859614,104.906546318711,105.646859400516,0.370156540902499
