"","Monetario","Demanda"
"Noroeste.d",2.51170252737704,4.58632684859444
"Costos.d",9.15243736998265,-11.9907113171526
"Monetario.d",-11.4538354384905,3.53238846360554
"Demanda.d",-2.26433863743608,-2.15915482935355
