"","Monetario","Demanda"
"Mexico.d",-1.08985678196018,-6.98160241247925
"Costos.d",10.8275935824456,-6.51489400347771
"Monetario.d",-8.74714479470207,-5.11176586789783
"Demanda.d",-3.01895986983083,2.9449925314731
