"","Monetario","Demanda"
"Noreste.d",-1.59496880739602,-5.62962942227167
"Costos.d",7.9516018022959,-5.63554809042031
"Monetario.d",-1.11574498907014,-3.66958304743972
"Demanda.d",-3.96080585214811,-1.75720521620730
