"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",92.774718246327,NA,NA,NA,NA,NA,NA
"2",93.111341511035,NA,NA,NA,NA,NA,NA
"3",93.705144949978,NA,NA,NA,NA,NA,NA
"4",94.630858927922,NA,NA,NA,NA,NA,NA
"5",94.731845907334,NA,NA,NA,NA,NA,NA
"6",94.990372574629,NA,NA,NA,NA,NA,NA
"7",96.336192386928,NA,NA,NA,NA,NA,NA
"8",96.668102925929,96.812318332071,NA,NA,NA,NA,NA
"9",97.375011781814,97.0186081284969,97.117332742557,NA,NA,NA,NA
"10",96.47218818587,96.587414955974,96.4460556458156,96.9266268211809,NA,NA,NA
"11",96.255402803399,96.4944026626974,96.3881405725861,96.7364900390885,96.3048340592008,NA,NA
"12",95.959174330456,96.477701442673,96.5326666340048,96.9043864391616,96.3588281870567,96.3827169796052,NA
"13",96.05814157028,96.4193676225887,96.2549929943538,96.620684834933,96.2178119802085,96.2528153201262,96.0164562098867
"14",96.566442699988,NA,96.733717394276,96.966419796484,96.8099264380911,96.900528418191,96.3866281533013
"15",97.315766087226,NA,NA,97.3349133128095,97.0715528355302,97.226574018191,96.8416493256427
"16",99.037930709467,NA,NA,NA,98.2975199226126,98.4376838681185,98.21615709202
"17",99.25269635235,NA,NA,NA,NA,98.9268975602319,98.4552273476139
"18",99.672128940175,NA,NA,NA,NA,NA,99.191627403304
