"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",4.2,4,0.2
"2",3.4,3.1,0.3
"3",3.7,3.4,0.3
"4",3.6,3.2,0.4
"5",3.4,3.2,0.200000000000000
"6",3.2,3,0.2
"7",3.2,2.8,0.4
"8",3.6,3.2,0.4
"9",3.4,2.8,0.6
"10",3.5,3,0.5
"11",3.4,2.9,0.5
"12",3.6,3.1,0.5
