"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",3.3,3.3,0
"2",2.6,2.8,-0.200000000000000
"3",2.7,3,-0.3
"4",2.8,3.1,-0.3
"5",2.7,3.1,-0.4
"6",2.5,2.9,-0.4
"7",2.5,3,-0.5
"8",2.8,3.2,-0.4
"9",2.8,3.1,-0.3
"10",3,3.2,-0.2
"11",3,3.2,-0.2
"12",3.1,3.3,-0.200000000000000
