"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",2.3,0,2.3
"2",2,-1.5,3.5
"3",2.9,3.1,-0.2
"4",2.7,2.9,-0.200000000000000
"5",2.6,1.9,0.7
"6",2.5,3.2,-0.7
"7",2.2,0.3,1.9
"8",2.4,2.2,0.200000000000000
"9",3.2,-1.4,4.6
"10",3.4,-1.9,5.3
"11",3.4,-0.3,3.7
"12",3.4,-1.1,4.5
