"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",4.5,3.8,0.7
"2",4.1,2.5,1.6
"3",4,3.3,0.7
"4",3.9,2.7,1.2
"5",3.5,2.1,1.4
"6",3.3,2.4,0.9
"7",3.5,2.4,1.1
"8",3.6,2.4,1.2
"9",3.8,2.6,1.2
"10",4,2.5,1.5
"11",3.7,2,1.7
"12",3.8,2.4,1.4
